MIR1302-2HG
FAM138A
OR4F5
AL627309.3
AL627309.1
AL627309.2
AL627309.5
AL627309.4
AP006222.2
AL732372.1
OR4F29
AC114498.1
OR4F16
AL669831.2
LINC01409
FAM87B
LINC00115
LINC01128
FAM41C
AL645608.6
AL645608.2
AL645608.4
LINC02593
SAMD11
NOC2L
KLHL17
PLEKHN1
PERM1
AL645608.7
HES4
ISG15
AL645608.1
AGRN
AL645608.5
AL645608.8
RNF223
C1orf159
AL390719.3
LINC01342
AL390719.2
TTLL10
TTLL10-AS1
TNFRSF18
TNFRSF4
SDF4
B3GALT6
C1QTNF12
AL162741.1
UBE2J2
LINC01786
SCNN1D
ACAP3
PUSL1
AL139287.1
INTS11
CPTP
TAS1R3
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20-AS1
MRPL20
AL391244.2
AL391244.1
ANKRD65
TMEM88B
LINC01770
VWA1
ATAD3C
ATAD3B
ATAD3A
TMEM240
AL645728.1
SSU72
FNDC10
AL691432.4
MIB2
AL691432.2
MMP23B
CDK11B
FO704657.1
SLC35E2B
CDK11A
SLC35E2A
NADK
GNB1
AL109917.1
CALML6
TMEM52
CFAP74
AL391845.2
GABRD
AL391845.1
PRKCZ
AL590822.2
PRKCZ-AS1
FAAP20
AL590822.1
SKI
AL590822.3
AL589739.1
AL513477.2
MORN1
RER1
PEX10
PLCH2
AL139246.1
AL139246.4
PANK4
AL139246.5
HES5
TNFRSF14-AS1
TNFRSF14
AL139246.3
PRXL2B
MMEL1
AL831784.1
AC242022.2
AC242022.1
TTC34
AL592464.2
AL592464.3
AL592464.1
AL589702.1
ACTRT2
PRDM16-DT
PRDM16
AL008733.1
AL590438.1
AL354743.2
AL354743.1
ARHGEF16
AL512413.1
MEGF6
AL513320.1
TPRG1L
WRAP73
TP73
AL136528.1
AL136528.2
CCDC27
SMIM1
AL365330.1
LRRC47
CEP104
DFFB
C1orf174
LINC01134
LINC01346
LINC01345
LINC02780
AL805961.1
LINC01777
AL355602.1
Z98747.1
LINC01646
AJAP1
Z98886.1
BX005132.1
LINC02781
LINC02782
AL139823.1
Z98259.2
Z98259.3
Z98259.1
AL365255.1
KCNAB2
NPHP4
CHD5
RPL22
AL031847.1
RNF207
LINC00337
ICMT
HES3
GPR153
ACOT7
AL031848.2
HES2
ESPN
AL031848.1
TNFRSF25
PLEKHG5
NOL9
TAS1R1
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
LINC01672
AL591163.1
CAMTA1-DT
CAMTA1
AL512330.1
CAMTA1-IT1
Z97987.1
AL365194.1
AL359881.3
AL359881.2
AL359881.1
VAMP3
Z98884.2
PER3
Z98884.1
UTS2
TNFRSF9
PARK7
AL034417.4
AL034417.3
ERRFI1
AL034417.2
LINC01714
AL358876.2
SLC45A1
RERE
RERE-AS1
AL357552.2
ENO1
ENO1-AS1
CA6
SLC2A7
SLC2A5
GPR157
LNCTAM34A
MIR34AHG
H6PD
SPSB1
BX323043.1
LINC02606
AL928921.1
SLC25A33
TMEM201
PIK3CD
PIK3CD-AS1
PIK3CD-AS2
CLSTN1
AL357140.1
CTNNBIP1
AL357140.4
LZIC
AL357140.2
NMNAT1
AL603962.1
RBP7
UBE4B
KIF1B
AL139424.3
AL139424.2
PGD
CENPS
AL139424.1
CORT
AL354956.1
DFFA
PEX14
AL139423.2
AL139423.1
CASZ1
C1orf127
TARDBP
AL109811.2
MASP2
SRM
AL109811.1
EXOSC10-AS1
EXOSC10
MTOR
MTOR-AS1
ANGPTL7
UBIAD1
AL031291.1
DISP3
AL590989.1
LINC01647
AL031731.1
FBXO44
FBXO2
FBXO6
MAD2L2
DRAXIN
AGTRAP
C1orf167
AL953897.1
MTHFR
CLCN6
NPPA
NPPB
AL021155.5
KIAA2013
PLOD1
AL096840.2
MFN2
MIIP
TNFRSF8
AL357835.1
TNFRSF1B
VPS13D
LINC02766
DHRS3
AC254633.1
AADACL4
AADACL3
C1orf158
PRAMEF12
PRAMEF1
LINC01784
PRAMEF11
HNRNPCL1
PRAMEF2
PRAMEF4
PRAMEF10
PRAMEF7
PRAMEF6
PRAMEF27
HNRNPCL3
PRAMEF25
HNRNPCL2
AC245056.1
PRAMEF26
HNRNPCL4
PRAMEF9
PRAMEF13
PRAMEF18
PRAMEF5
PRAMEF8
PRAMEF33
PRAMEF15
AC243961.1
PRAMEF14
PRAMEF19
PRAMEF17
PRAMEF20
AL354712.1
LRRC38
PDPN
AL359771.1
PRDM2
KAZN
AL357873.1
KAZN-AS1
AL031293.1
TMEM51-AS1
TMEM51
C1orf195
FHAD1
AL031283.3
AL031283.2
AL031283.1
EFHD2
CTRC
CELA2A
CELA2B
CASP9
DNAJC16
AL121992.3
AGMAT
AL121992.1
DDI2
RSC1A1
AL121992.2
PLEKHM2
SLC25A34
AL450998.3
TMEM82
SLC25A34-AS1
FBLIM1
UQCRHL
SPEN
AL450998.2
ZBTB17
SRARP
AL355994.3
HSPB7
CLCNKA
CLCNKB
FAM131C
AL451042.2
EPHA2
AL451042.1
ARHGEF19-AS1
ARHGEF19
AL109627.1
CPLANE2
FBXO42
SZRD1
SPATA21
NECAP2
LINC01772
AL137802.2
AL137802.1
LINC01783
NBPF1
AL137798.1
AL137798.2
AL021920.1
AL021920.3
BX284668.1
BX284668.2
BX284668.5
BX284668.6
CROCC
AL049569.2
MFAP2
AL049569.1
ATP13A2
SDHB
PADI2
LINC02783
AL590644.1
PADI1
PADI3
PADI4
PADI6
RCC2-AS1
RCC2
ARHGEF10L
LINC02810
ACTL8
AL357509.1
LINC01654
IGSF21
IGSF21-AS1
AL591896.1
KLHDC7A
PAX7
TAS1R2
ALDH4A1
IFFO2
AL137127.1
UBR4
EMC1-AS1
EMC1
MRTO4
AKR7A3
AKR7A2
SLC66A1
CAPZB
MICOS10
AL031727.2
NBL1
HTR6
TMCO4
AL391883.1
RNF186
OTUD3
PLA2G2E
PLA2G2A
PLA2G5
PLA2G2D
PLA2G2F
Z98257.1
PLA2G2C
UBXN10
UBXN10-AS1
LINC01757
Z98257.2
VWA5B1
AL020998.1
AL139254.1
LINC01141
AL139254.2
AL139254.3
CAMK2N1
MUL1
FAM43B
CDA
PINK1
PINK1-AS
DDOST
KIF17
SH2D5
AL663074.1
HP1BP3
EIF4G3
AL031005.2
AL031005.1
ECE1
AL031728.1
AL592309.2
NBPF3
ALPL
LINC02596
RAP1GAP
USP48
LDLRAD2
HSPG2
CELA3B
CELA3A
LINC01635
CDC42
LINC00339
CDC42-AS1
CDC42-IT1
AL445253.1
WNT4
ZBTB40
ZBTB40-IT1
EPHA8
C1QA
C1QC
C1QB
EPHB2
AL512444.1
LACTBL1
TEX46
KDM1A
AL031428.1
LUZP1
HTR1D
LINC01355
AL109936.6
HNRNPR
ZNF436
ZNF436-AS1
AL109936.2
TCEA3
ASAP3
E2F2
AL021154.1
ID3
MDS2
AL450043.1
RPL11
ELOA
ELOA-AS1
PITHD1
LYPLA2
GALE
HMGCL
FUCA1
AL590609.3
CNR2
PNRC2
SRSF10
AL591178.1
MYOM3
AL591178.2
IL22RA1
IFNLR1
LINC02800
GRHL3
AL138902.1
STPG1
NIPAL3
RCAN3
RCAN3AS
NCMAP-DT
NCMAP
SRRM1
AL445648.1
CLIC4
RUNX3
AL445471.1
AL445471.2
LINC02793
AL050344.1
AL031432.1
SYF2
AL031432.4
AL031432.5
RSRP1
AL031432.3
RHD
TMEM50A
RHCE
MACO1
LDLRAP1
AL606491.1
MAN1C1
AL031280.1
SELENON
AL020996.1
MTFR1L
AL020996.3
AUNIP
AL033528.2
PAQR7
STMN1
PAFAH2
EXTL1
SLC30A2
AL391650.2
TRIM63
PDIK1L
FAM110D
C1orf232
ZNF593
AL391650.1
CNKSR1
CATSPER4
CEP85
SH3BGRL3
UBXN11
CD52
CRYBG2
ZNF683
LIN28A
DHDDS
AL513365.2
HMGN2
RPS6KA1
ARID1A
AL512408.1
PIGV
ZDHHC18
SFN
AL034380.1
GPN2
GPATCH3
NR0B2
NUDC
KDF1
TRNP1
TENT5B
SLC9A1
AL590640.1
WDTC1
TMEM222
SYTL1
MAP3K6
FCN3
CD164L2
GPR3
FO393419.2
WASF2
BX293535.1
AHDC1
FGR
LINC02574
AL445490.1
IFI6
AL020997.5
FAM76A
STX12
AL020997.2
AL020997.3
PPP1R8
AL020997.4
THEMIS2
RPA2
SMPDL3B
XKR8
AL512288.1
EYA3
PTAFR
DNAJC8
ATP5IF1
AL353622.1
AL353622.2
SESN2
MED18
PHACTR4
RCC1
SNHG3
TRNAU1AP
SNHG12
RAB42
TAF12
LINC01715
AL360012.1
GMEB1
YTHDF2
OPRD1
AL009181.1
EPB41
TMEM200B
AL357500.1
SRSF4
AL590729.1
MECR
PTPRU
LINC01756
AC092265.1
AL645944.2
LINC01648
AL137076.1
AL161638.2
AL161638.1
MATN1-AS1
MATN1
AL137857.1
LAPTM5
AL137027.1
LINC01778
AL445235.1
SDC3
PUM1
NKAIN1
SNRNP40
ZCCHC17
AL451070.1
FABP3
SERINC2
LINC01226
AC114488.1
TINAGL1
HCRTR1
AC114488.2
AC114488.3
PEF1
COL16A1
ADGRB2
AL354919.2
SPOCD1
AL354919.1
PTP4A2
AL136115.2
AL136115.1
AL136115.3
KHDRBS1
TMEM39B
AL445248.1
KPNA6
AL049795.2
TXLNA
CCDC28B
IQCC
AL049795.1
DCDC2B
TMEM234
EIF3I
FAM167B
LCK
HDAC1
MARCKSL1
AL109945.1
FAM229A
TSSK3
BSDC1
ZBTB8B
ZBTB8A
ZBTB8OS
RBBP4
SYNC
AC114489.1
KIAA1522
YARS
S100PBP
FNDC5
HPCA
TMEM54
AL031602.2
RNF19B
AL020995.1
AK2
AZIN2
TRIM62
AL662907.3
ZNF362
AL513327.3
AL513327.1
A3GALT2
PHC2
AL513327.2
ZSCAN20
CSMD2
HMGB4
CSMD2-AS1
C1orf94
AC099565.1
GJB5
GJB4
GJB3
AL121988.1
GJA4
AL122010.1
SMIM12
DLGAP3
TMEM35B
ZMYM6
ZMYM1
AL590434.1
SFPQ
ZMYM4
ZMYM4-AS1
KIAA0319L
NCDN
TFAP2E
AC004865.2
PSMB2
C1orf216
AL354864.1
CLSPN
AGO4
AGO1
AL139286.3
AL139286.2
AGO3
AL138787.2
TEKT2
ADPRHL2
COL8A2
TRAPPC3
MAP7D1
THRAP3
SH3D21
EVA1B
AL591845.1
STK40
LSM10
OSCP1
MRPS15
CSF3R
AL596257.1
AC117945.2
AC117945.1
GRIK3
AL031430.1
AL353604.1
LINC01137
ZC3H12A
MEAF6
SNIP1
DNALI1
GNL2
